,News,Classification
274,Rimi supermarket is the key customer in Magistral center .,neutral
275,Viking Line manages well with its current ferries .,positive
276,The company designs  manufactures and markets high-quality clothing  interior decoration textiles  bags and other accessories .,neutral
277,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral
278,The Helsinki-based company  which also owns the Salomon  Atomic and Suunto brands  said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million )  from (  x20ac ) 40.8 million a year earlier .,positive
279,At this growth rate  paying off the national debt will be extremely painful .,negative
280,The employee negotiations are to address measures needed to adjust the operations to the present production situation .,neutral
281,The Board of Directors was authorized to decide on other terms of the share issue .,neutral
282,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral
283,The firm builds components for mobile phones and other communications products .,neutral
284,Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit  die finale Version zu beeinflussen .,neutral
285,The company has delivered the technical infrastructure  used by NAV for their data warehouse and business intelligence initiatives .,neutral
286,The company said that currently the French distribution unit Ragot is located in Loudeac  Normandy  the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .,neutral
287,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .,neutral
288,The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral
289,It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4805 mark .,neutral
290,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,positive
291,`` We are delighted to announce our support for Intel based handheld platforms  the capabilities of which have made our development easier and faster .,positive
292,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral
293,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative
294,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive
295,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,neutral
296,In the Baltic states the company reports net sales of EUR 11.9 mn  down from EUR 14.2 mn  and an operative EBIT of EUR -2.2 mn  down from EUR -1.7 mn .,negative
297,Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive
298,Operating profit rose to 22.1 mln eur from 19.9 mln .,positive
299,The period-end cash and cash equivalents totaled EUR6 .5 m  compared to EUR10 .5 m in the previous year .,negative
300,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive
301,Profit for the period totaled EUR 39.4 mn  up from EUR 33.9 mn in the corresponding period in 2006 .,positive
302,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
303,Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp.  of Chicago .,neutral
304,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive
305,The port facilities ' throughput is 250000 TEUs and 7.5 mln tons of general cargo .,neutral
306,No other ev3 devices were involved in this action .,neutral
307,Purchase it for the 12MP snapper  if nothing else .,neutral
308,External net sales from the printing business fell by 43.7 %  partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .,negative
309,Deliveries of Nokia 1112  Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .,neutral
310,The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10  20  100-120  200  300  1000 and 1200 -Ál volume capacities .,neutral
311,Following the issue  the new shares will constitute 10 percent of the firm 's capital .,neutral
312,Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m  as compared to 2004 .,negative
313,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive
314,Nokia shares hit 13.21 euros on Friday  down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .,negative
315,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,negative
316,Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny  in the St. Petersburg suburbs .,positive
317,Operating profit was EUR -0.1 mn  down from EUR 1.3 mn .,negative
318,However  the proportion of the paid standing orders grew in 2009 .,positive
319,These sections will be put into place to form the load-bearing steel structure of the bridge  '' says Sami Eronen  Senior Vice President  Infrastructure and Northern Europe  Ruukki Construction .,neutral
320,The company 's transportation business is conducted through Florida Rock & Tank Lines  which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .,neutral
321,The train is expected to cross the Russian territory in 9 days  reaching the Vostochny port .,neutral
322,Yesterday  Legrand issued its E300 million fixed rate deal maturing 2017 .,neutral
323,For Telenor  the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway  Sweden  Denmark and Finland .,positive
324,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,negative
325,In the third quarter of 2010  net sales increased by 5.2 % to EUR 205.5 mn  and operating profit by 34.9 % to EUR 23.5 mn .,positive
